id,Location,CommAddress,Address,City,Zip code,State,Dates,Hours
65,Willow Glen Branch Library (Outside Drop Box),"1157 Minnesota Avenue, San Jose, CA 95125",1157 Minnesota Avenue,San Jose,95125,CA,10/7/24-11/05/2024,24 hours
66,Rose Garden Branch Library (Outside Drop box),"1580 Naglee Avenue, San Jose, CA 95126",1580 Naglee Avenue,San Jose,95126,CA,10/7/24-11/05/2024,24 hours
67,Dr Roberto Cruz Library (Outside Drop Box),"3090 Alum Rock Avenue, San Jose, CA 95127",3090 Alum Rock Avenue,San Jose,95127,CA,10/7/24-11/05/2024,24 hours
68,Alum Rock Union School District (Outside Drop Box),"2930 Gay Avenue, San Jose, CA 95127",2930 Gay Avenue,San Jose,95127,CA,10/7/24-11/05/2024,24 hours
69,San Jose City College (@ Student Center),"2100 Moorpark Avenue, San Jose, CA 95128",2100 Moorpark Avenue,San Jose,95128,CA,10/7/24-11/05/2024,24 hours
70,Valley Medical Center Valley Specialty Center (Outside Drop Box),"751 South Bascom Avenue, San Jose, CA 95128",751 South Bascom Avenue,San Jose,95128,CA,10/7/24-11/05/2024,24 hours
71,Forest Hill Elementary School (Outside Drop Box),"4450 McCoy Avenue, San Jose, CA 95130",4450 McCoy Avenue,San Jose,95130,CA,10/7/24-11/05/2024,24 hours
72,Orchard School District (Outside Drop Box),"921 Fox Lane, San Jose, CA 95131",921 Fox Lane,San Jose,95131,CA,10/7/24-11/05/2024,24 hours
73,Berryessa Branch Library (Outside Drop Box),"3355 Noble Avenue, San Jose, CA 95132",3355 Noble Avenue,San Jose,95132,CA,10/7/24-11/05/2024,24 hours
74,Educational Branch Library (Outside Drop Box),"1772 Educational Drive, San Jose, CA 95133",1772 Educational Drive,San Jose,95133,CA,10/7/24-11/05/2024,24 hours
75,Evergreen Valley College (@ Staff Parking Lot 7),"3095 Yerba Buena Road, San Jose, CA 95135",3095 Yerba Buena Road,San Jose,95135,CA,10/7/24-11/05/2024,24 hours
76,Village Square Branch Library (Outside Drop Box),"4001 Evergreen Village Square, San Jose, CA 95135",4001 Evergreen Village Square,San Jose,95135,CA,10/7/24-11/05/2024,24 hours
77,Pearl Avenue Branch Library (Outside Drop Box),"4270 Pearl Avenue, San Jose, CA 95136",4270 Pearl Avenue,San Jose,95136,CA,10/7/24-11/05/2024,24 hours
78,Evergreen Valley High School (Outside Drop Box),"3300 Quimby Road, San Jose, CA 95148",3300 Quimby Road,San Jose,95148,CA,10/7/24-11/05/2024,24 hours
79,Mount Pleasant School District (Outside Drop Box),"3434 Marten Avenue, San Jose, CA 95148",3434 Marten Avenue,San Jose,95148,CA,10/7/24-11/05/2024,24 hours
80,Mission Branch Library (Outside Drop Box),"1098 Lexington St, Santa Clara, CA 95050",1098 Lexington St,Santa Clara,95050,CA,10/7/24-11/05/2024,24 hours
81,Santa Clara City Hall  (Outside Drop Box),"1500 Warburton Avenue, Santa Clara, CA 95050",1500 Warburton Avenue,Santa Clara,95050,CA,10/7/24-11/05/2024,24 hours
82,Briarwood Elementary School (Outside Drop Box),"1930 Townsend Avenue, Santa Clara, CA 95051",1930 Townsend Avenue,Santa Clara,95051,CA,10/7/24-11/05/2024,24 hours
83,Central Park Branch Library (Outside Drop Box),"2635 Homestead Road, Santa Clara, CA 95051",2635 Homestead Road,Santa Clara,95051,CA,10/7/24-11/05/2024,24 hours
84,Kona Kai Swim Club (Outside Drop Box),"680 Hubbard Avenue, Santa Clara, CA 95051",680 Hubbard Avenue,Santa Clara,95051,CA,10/7/24-11/05/2024,24 hours
85,Mission College (Student Drop Off),"3000 Mission College Boulevard, Santa Clara, CA 95054",3000 Mission College Boulevard,Santa Clara,95054,CA,10/7/24-11/05/2024,24 hours
86,Northside Branch Library (Outside Drop Box),"695 Moreland Way, Santa Clara, CA 95054",695 Moreland Way,Santa Clara,95054,CA,10/7/24-11/05/2024,24 hours
87,Saratoga City Hall (Outside Drop Box),"13777 Fruitvale Avenue, Saratoga, CA 95070",13777 Fruitvale Avenue,Saratoga,95070,CA,10/7/24-11/05/2024,24 hours
88,Saratoga Library (Outside Drop Box),"13650 Saratoga Avenue, Saratoga, CA 95070",13650 Saratoga Avenue,Saratoga,95070,CA,10/7/24-11/05/2024,24 hours
89,West Valley College (@ Fox Center ),"14000 Fruitvale Avenue, Saratoga, CA 95070",14000 Fruitvale Avenue,Saratoga,95070,CA,10/7/24-11/05/2024,24 hours
90,Sunnyvale Community Services (Outside Drop Box),"1160 Kern Avenue, Sunnyvale, CA 94085",1160 Kern Avenue,Sunnyvale,94085,CA,10/7/24-11/05/2024,24 hours
91,Sunnyvale City Hall (Outside Drop Box),"456 West Olive Avenue, Sunnyvale, CA 94086",456 West Olive Avenue,Sunnyvale,94086,CA,10/7/24-11/05/2024,24 hours
92,Sunnyvale Library (Outside Drop Box),"665 West Olive Avenue, Sunnyvale, CA 94086",665 West Olive Avenue,Sunnyvale,94086,CA,10/7/24-11/05/2024,24 hours
93,Valley Medical Center Sunnyvale (Outside Drop Box),"660 South Fair Oaks Avenue, Sunnyvale, CA 94086",660 South Fair Oaks Avenue,Sunnyvale,94086,CA,10/7/24-11/05/2024,24 hours
94,Sunnyvale Community Center (Outside Drop Box),"550 East Remington Drive, Sunnyvale, CA 94087",550 East Remington Drive,Sunnyvale,94087,CA,10/7/24-11/05/2024,24 hours
95,Sunnyvale Presbyterian Church (Outside Drop Box),"728 West Fremont Avenue, Sunnyvale, CA 94087",728 West Fremont Avenue,Sunnyvale,94087,CA,10/7/24-11/05/2024,24 hours
96,Grocery Outlet Bargain Market (Outside Drop Box),"1180 North Fair Oaks Avenue, Sunnyvale, CA 94089",1180 North Fair Oaks Avenue,Sunnyvale,94089,CA,10/7/24-11/05/2024,24 hours
